run,luminosityBlock,event,PV_npvs,PV_x,PV_y,PV_z,nMuon,Muon_pt,Muon_eta,Muon_phi,Muon_mass,Muon_charge,Muon_pfRelIso03_all,Muon_pfRelIso04_all,Muon_dxy,Muon_dxyErr,Muon_dz,Muon_dzErr,nElectron,Electron_pt,Electron_eta,Electron_phi,Electron_mass,Electron_charge,Electron_pfRelIso03_all,Electron_dxy,Electron_dxyErr,Electron_dz,Electron_dzErr,MET_pt,MET_phi
196203,18,14865328.0,11,0.07425736635923386,0.06312629580497742,0.33830854296684265,2,"[16, 29.9]","[-1.9, -1.57]","[-0.381, 2.9]","[0.106, 0.106]","[-1, 1]","[0.0433, 0]","[0.204, 0]","[0.00561, 0.00186]","[0.0039, 0.00207]","[0.000204, 0.00315]","[0.0102, 0.00496]",2,"[32.9, 17.1]","[-1.57, -1.9]","[2.9, -0.38]","[-0.0251, 0.00456]","[1, -1]","[-999, -999]","[0.00505, -0.00206]","[0.00399, 0.00764]","[0.00299, 0.00288]","[0.0044, 0.00912]",20.714984893798828,0.40272802114486694
196453,1337,1181788896.0,17,0.07212813943624496,0.06240363046526909,-1.7347272634506226,2,"[16.4, 30.3]","[-2.21, 0.473]","[2.75, -0.579]","[0.106, 0.106]","[-1, 1]","[0.0395, 0.0394]","[0.165, 0.0588]","[0.000511, 0.00194]","[0.00271, 0.00124]","[-0.00255, -0.00177]","[0.00929, 0.00219]",2,"[23.7, 35.1]","[-0.192, -2.26]","[0.161, -3.09]","[0.00425, 0.026]","[-1, 1]","[0.0896, 0.023]","[-0.001, -0.00308]","[0.00184, 0.00522]","[-0.00215, -0.00208]","[0.00301, 0.0103]",19.274158477783203,-1.7815377712249756
195658,71,59123305.0,11,0.07201240211725235,0.06209537759423256,-0.6264461278915405,2,"[33.6, 16.9]","[2.22, -0.28]","[1.69, -1.61]","[0.106, 0.106]","[1, -1]","[0, 0]","[0, 0]","[-0.00219, 0.000962]","[0.00165, 0.00197]","[0.00499, -0.00217]","[0.00536, 0.0033]",2,"[73.6, 28.1]","[0.504, 0.201]","[0.339, -2.7]","[0.0153, 0.00805]","[-1, 1]","[0.0403, 0.0523]","[0.00245, -0.00217]","[0.00162, 0.00381]","[-0.00106, -0.00209]","[0.00211, 0.00323]",12.084756851196289,0.8911436796188354
195113,448,536303029.0,18,0.07010599225759506,0.06324627250432968,2.1146724224090576,2,"[42.5, 89.1]","[-0.486, -0.886]","[0.0735, 1.63]","[0.106, 0.106]","[-1, 1]","[0.0127, 0]","[0.0344, 0.00386]","[-0.00168, -0.0004]","[0.00118, 0.000756]","[-0.000141, 0.000583]","[0.00273, 0.00312]",2,"[25.9, 56.5]","[-1.33, -0.0912]","[-2.16, 0.0681]","[0.00968, 0.00936]","[-1, 1]","[-999, 0.0308]","[-0.00939, 0.0071]","[0.00466, 0.00273]","[0.00333, 0.0015]","[0.00612, 0.00403]",55.578182220458984,-3.013850688934326
194108,404,394007716.0,12,0.07120998203754425,0.06479299068450928,7.089667797088623,2,"[67, 33.3]","[0.736, 0.16]","[-2.78, -0.399]","[0.106, 0.106]","[-1, 1]","[0, 0.0821]","[0.0454, 0.0821]","[0.000566, 0.00238]","[0.000676, 0.00169]","[0.000479, -0.00397]","[0.00251, 0.00453]",2,"[73.1, 14.3]","[0.483, -1.33]","[1.22, -0.976]","[-0.00437, -0.00216]","[1, -1]","[0.0597, 0.125]","[-8.63e-05, -0.00136]","[0.00151, 0.00359]","[-0.0031, -0.000783]","[0.00187, 0.00454]",4.395024299621582,-2.340442419052124
195915,251,426559109.0,14,0.07318427413702011,0.06297660619020462,-6.35287618637085,2,"[49.9, 57.8]","[1.49, 0.34]","[1.2, 2.51]","[0.106, 0.106]","[-1, 1]","[0.028, 0.0986]","[0.028, 0.108]","[-0.000382, 0.00194]","[0.000972, 0.00122]","[0.0037, -0.00314]","[0.00375, 0.0016]",2,"[38.1, 67.9]","[0.998, 2.22]","[-1.77, -0.436]","[-0.00878, 0.101]","[1, -1]","[0.174, 0.0402]","[0.00456, -0.00205]","[0.00253, 0.00215]","[0.00709, -0.00418]","[0.00338, 0.00529]",14.3402099609375,-1.891039252281189
195147,493,607057396.0,17,0.07106403261423111,0.060344111174345016,0.24871553480625153,2,"[57.7, 23]","[-2.31, -0.988]","[-2.9, -0.482]","[0.106, 0.106]","[1, -1]","[0, 0.0503]","[0, 0.309]","[0.000469, 0.00118]","[0.00131, 0.00134]","[-0.0015, -0.00283]","[0.0103, 0.00294]",2,"[32.7, 64.5]","[-0.73, -1.31]","[2.68, 0.141]","[0.00896, -0.033]","[-1, 1]","[0.108, 0.057]","[0.00041, 0.00129]","[0.00258, 0.00356]","[0.00331, 0.00749]","[0.00321, 0.00495]",7.516678810119629,-0.5177620053291321
195398,195,150950613.0,13,0.07335669547319412,0.06187904253602028,2.669402837753296,2,"[19.7, 70.7]","[1.2, -0.328]","[1.3, -0.776]","[0.106, 0.106]","[1, -1]","[0.112, 0.0104]","[0.147, 0.0104]","[-0.000684, -0.000547]","[0.00117, 0.00121]","[0.00114, 0.00349]","[0.00354, 0.00339]",2,"[66.8, 14.3]","[-1.91, -0.713]","[0.1, 0.946]","[-0.0847, 0.00612]","[1, -1]","[-999, -999]","[0.00402, -0.00223]","[0.00375, 0.00525]","[-0.0132, 0.00482]","[0.00563, 0.00395]",9.714850425720215,0.987526535987854
195757,148,244623214.0,16,0.07505875825881958,0.0634908527135849,1.8944324254989624,2,"[23.9, 54.1]","[-1.4, -0.119]","[2.66, -0.259]","[0.106, 0.106]","[1, -1]","[0.14, 0.0336]","[0.231, 0.0901]","[-0.000784, 8.63e-05]","[0.00151, 0.00174]","[-0.00124, 0.00235]","[0.00419, 0.00389]",2,"[48, 41.4]","[-0.197, 0.144]","[1.04, -2.41]","[0.0157, -0.0103]","[-1, 1]","[0.0107, 0.167]","[-0.00432, -0.00276]","[0.00261, 0.00227]","[-0.00573, 0.00416]","[0.00316, 0.00335]",13.202696800231934,0.8152519464492798
195398,449,389534744.0,12,0.07155676931142807,0.06405092775821686,-3.127225637435913,2,"[28.1, 141]","[-1.31, -0.812]","[0.477, 1.66]","[0.106, 0.106]","[1, -1]","[0.164, 0.013]","[0.164, 0.025]","[0.00128, -0.00118]","[0.00205, 0.00114]","[0.0005, -0.00483]","[0.00333, 0.00258]",2,"[78.7, 24.8]","[-0.92, -0.852]","[-1.57, 0.988]","[0.0242, 0.00978]","[-1, 1]","[-999, 0.203]","[-0.00125, -0.00212]","[0.00351, 0.00637]","[-0.00494, -0.0142]","[0.00357, 0.00763]",30.255836486816406,2.0653579235076904
196452,1016,1315227994.0,16,0.07087434828281403,0.06716576963663101,-1.8894970417022705,2,"[55.3, 21.5]","[-2.3, -0.0592]","[-2.76, -2.14]","[0.106, 0.106]","[-1, 1]","[0, 0.065]","[0, 0.065]","[0.00097, 0.000781]","[0.0013, 0.00155]","[0.0103, -0.000913]","[0.0127, 0.00529]",2,"[77.8, 18.1]","[-0.0225, -1.37]","[0.325, -1.97]","[0.0236, -0.00896]","[1, -1]","[0.00421, 0.181]","[-0.000832, 0.00123]","[0.00191, 0.00784]","[-0.00568, 0.0047]","[0.00351, 0.00736]",17.091264724731445,0.267228364944458
196349,105,112990898.0,22,0.07410212606191635,0.061823442578315735,5.663808345794678,2,"[60.3, 31]","[-1.8, -1.18]","[-2.93, 0.121]","[0.106, 0.106]","[-1, 1]","[0.025, 0.095]","[0.0539, 0.095]","[-0.000842, -0.00226]","[0.00161, 0.00192]","[0.000428, -0.000424]","[0.00457, 0.00412]",2,"[60.4, 27.3]","[-1.18, -2.44]","[-0.00021, 2.83]","[-0.0191, 0.0388]","[1, -1]","[0.0849, -999]","[-0.00177, 0.00473]","[0.00202, 0.00651]","[-0.000302, -0.014]","[0.00406, 0.0148]",29.86334228515625,-0.25243738293647766
194119,158,140486819.0,7,0.07482516765594482,0.06219836324453354,-3.4869842529296875,2,"[30.1, 72.2]","[0.997, 0.901]","[-0.0302, -2.79]","[0.106, 0.106]","[-1, 1]","[0, 0.0104]","[0, 0.0104]","[-0.000389, -0.000122]","[0.00127, 0.00102]","[9.19e-05, 0.00087]","[0.00311, 0.00463]",2,"[40.7, 36.3]","[1.63, 0.269]","[0.00995, -2.32]","[0.0357, -0.00987]","[-1, 1]","[0.0122, 0.0311]","[-0.0018, -0.0168]","[0.00361, 0.0043]","[0.000931, 0.00428]","[0.00448, 0.00376]",16.564739227294922,1.1620430946350098
194644,185,196674650.0,14,0.07051534205675125,0.06272408366203308,4.385171413421631,2,"[82.8, 30]","[-0.23, 0.14]","[-1.57, 2.6]","[0.106, 0.106]","[-1, 1]","[0.00667, 0.00949]","[0.0319, 0.0569]","[0.00119, -0.000493]","[0.000855, 0.0011]","[-0.00179, -0.00235]","[0.00289, 0.00261]",2,"[117, 35.4]","[0.249, 1.18]","[0.236, 1.28]","[0.0374, -0.0104]","[1, -1]","[0.00268, 0.101]","[-0.00768, 0.00281]","[0.00339, 0.00297]","[0.00588, 0.00204]","[0.00342, 0.00405]",15.893771171569824,2.210834503173828
196438,902,772856600.0,11,0.067937470972538,0.06490624696016312,-6.858506679534912,2,"[37.1, 27.4]","[0.642, -0.526]","[-2.02, 0.942]","[0.106, 0.106]","[-1, 1]","[0, 0.0185]","[0, 0.0876]","[-0.00036, -0.00213]","[0.00141, 0.00165]","[0.000474, -0.00647]","[0.00226, 0.00314]",2,"[26.3, 20.6]","[-1.63, 0.642]","[1.51, -2.02]","[0.022, -0.0033]","[1, -1]","[-999, -999]","[0.00161, -0.00244]","[0.00407, 0.00263]","[0.0026, 0.000681]","[0.00408, 0.00191]",30.18010902404785,-2.288800001144409
196334,177,252537006.0,18,0.07653841376304626,0.06872783601284027,-3.5329253673553467,2,"[99.9, 20.1]","[1.63, -0.151]","[-2.41, -1.98]","[0.106, 0.106]","[1, -1]","[0.0247, 0]","[0.0438, 0.0658]","[-0.000464, -0.0042]","[0.00151, 0.00151]","[0.00425, -0.00107]","[0.00495, 0.0037]",2,"[127, 15.7]","[-0.171, -0.615]","[0.717, -2.75]","[-0.0124, -0.00779]","[-1, 1]","[0.0515, 0.282]","[0.000499, 0.00454]","[0.00185, 0.00353]","[-0.00221, 0.00123]","[0.00285, 0.00302]",22.41688346862793,2.1045587062835693
195099,115,137440354.0,19,0.07271967083215714,0.06250540912151337,3.334308624267578,2,"[23.9, 43.4]","[-2.02, -0.852]","[-1.21, 1.82]","[0.106, 0.106]","[-1, 1]","[0, 0.0489]","[0.0917, 0.0675]","[-0.00201, 0.00108]","[0.00259, 0.000833]","[0.00709, -0.00329]","[0.00652, 0.00263]",2,"[21.2, 10.3]","[0.0215, -0.354]","[-1.24, 2.42]","[-0.00704, 0.00247]","[1, -1]","[0.0362, 0.349]","[0.0014, -0.00406]","[0.00259, 0.00285]","[0.000142, 0.00057]","[0.00231, 0.00195]",19.618553161621094,1.755855917930603
